,0603 6C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1456,
1,BALLOTS CAST - TOTAL.,145,
2,VOTER TURNOUT - TOTAL,,9.96
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,103,71.53
6,YOLANDA CANCEL,22,15.28
7,JEFFERY P. DONNELLY,8,5.56
8,LINDA MATYS O'CONNELL,11,7.64
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,56,10.31
14,JESSE LEDERMAN.,82,15.10
15,KATERI B. WALSH,81,14.92
16,TRACYE L. WHITFIELD,47,8.66
17,LaMAR COOK,21,3.87
18,SEAN CURRAN.,53,9.76
19,KENCY GILET.,20,3.68
20,JOHNNIE RAY MCKNIGHT.,23,4.24
21,KELLI P. MORIARTY-FINN,57,10.50
22,CHRISTOPHER J. POHNER,73,13.44
23,ISRAEL RIVERA,28,5.16
24,WRITE-IN.,2,.37
25,Blanks,182,
