,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1645,
1,BALLOTS CAST - TOTAL.,95,
2,VOTER TURNOUT - TOTAL,,5.78
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,77,82.80
6,YOLANDA CANCEL.,10,10.75
7,JEFFERY P. DONNELLY,3,3.23
8,LINDA MATYS O'CONNELL,3,3.23
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,49,13.07
13,JESSE LEDERMAN.,48,12.80
14,KATERI B. WALSH,54,14.40
15,TRACYE L. WHITFIELD,42,11.20
16,LaMAR COOK,25,6.67
17,SEAN CURRAN.,36,9.60
18,KENCY GILET.,7,1.87
19,JOHNNIE RAY MCKNIGHT.,16,4.27
20,KELLI P. MORIARTY-FINN,30,8.00
21,CHRISTOPHER J. POHNER,22,5.87
22,ISRAEL RIVERA,45,12.00
23,WRITE-IN.,1,.27
24,Blanks,100,
