,0405 4E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1610,
1,BALLOTS CAST - TOTAL.,61,
2,VOTER TURNOUT - TOTAL,,3.79
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,12,6.38
6,JUSTIN J. HURST,35,18.62
7,KATERI B. WALSH,20,10.64
8,ERNESTO E. CRUZ,11,5.85
9,VICTOR G. DAVILA,9,4.79
10,MARILYN FELIX,13,6.91
11,JESSE LEDERMAN.,12,6.38
12,JYNAI S. McDONALD.,17,9.04
13,KELVIN MOLINA,9,4.79
14,KELLI P. MORIARTY-FINN,7,3.72
15,TIMOTHY RYAN,4,2.13
16,WILLIE J. THOMAS,9,4.79
17,TRACYE L. WHITFIELD,30,15.96
18,WRITE-IN.,0,
19,Blanks,117,38.36
20,CITY COUNCIL WARD 4,,
21,VOTE FOR 1,,
22,E. HENRY TWIGGS,10,18.52
23,LORENZO D. GAINES.,10,18.52
24,ROBERT J. KELLY,15,27.78
25,LARRY LAWSON,7,12.96
26,CANDEJAH PINK,12,22.22
27,WRITE-IN.,0,
28,Blanks,7,11.48
29,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
30,DENISE MARIE HURST,29,30.21
31,JAMES M. ANZIANO,2,2.08
32,LaMAR COOK,16,16.67
33,JAMES J. FERRERA III.,4,4.17
34,JOESIAH GONZALEZ,7,7.29
35,RYAN HESS,1,1.04
36,MICHAEL D. KOCSMIERSKY,1,1.04
37,LaTONIA MONROE NAYLOR,36,37.50
38,WRITE-IN.,0,
39,Blanks,26,21.31
40,SCHOOL COMMITTEE DISTRICT 2,,
41,VOTE FOR 1,,
42,BARBARA GRESHAM,28,56.00
43,STEPHANIE MURCHISON-BROWN,11,22.00
44,GISELLE VIZCARRONDO,10,20.00
45,WRITE-IN.,1,2.00
46,Blanks,11,18.03
