,,0407 4G,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1716,
1,,BALLOTS CAST - TOTAL.,150,
2,,VOTER TURNOUT - TOTAL,,8.74
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS ASHE.,48,10.02
6,,JUSTIN J. HURST,99,20.67
7,,KATERI B. WALSH,60,12.53
8,,ERNESTO E. CRUZ .,37,7.72
9,,VICTOR G. DAVILA .,25,5.22
10,,MARILYN FELIX .,20,4.18
11,,JESSE LEDERMAN.,38,7.93
12,,JYNAI S. McDONALD.,19,3.97
13,,KELVIN MOLINA,7,1.46
14,,KELLI P. MORIARTY-FINN,10,2.09
15,,TIMOTHY RYAN,20,4.18
16,,WILLIE J. THOMAS,34,7.10
17,,TRACYE L. WHITFIELD,62,12.94
18,,WRITE-IN.,0,
19,,Blanks,271,36.13
20,,CITY COUNCIL WARD 4 VOTE FOR 1,,
21,,E. HENRY TWIGGS,57,40.14
22,,LORENZO D. GAINES.,36,25.35
23,,ROBERT J. KELLY,22,15.49
24,,LARRY LAWSON,14,9.86
25,,CANDEJAH PINK,13,9.15
26,,WRITE-I,0,
27,,Blanks,8,5.33
28,,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
29,,DENISE MARIE HURST,91,38.89
30,,JAMES M. ANZIANO,7,2.99
31,,LaMAR COOK,31,13.25
32,,JAMES J. FERRERA III.,37,15.81
33,,JOESIAH GONZALEZ,16,6.84
34,,RYAN HESS,3,1.28
35,,MICHAEL D. KOCSMIERSKY,5,2.14
36,,LaTONIA MONROE NAYLOR,44,18.80
37,,WRITE-IN.,0,
38,,Blanks,66,22.00
39,,SCHOOL COMMITTEE DISTRICT 2,,
40,,VOTE FOR 1,,
41,,BARBARA GRESHAM,74,56.49
42,,STEPHANIE MURCHISON-BROWN,35,26.72
43,,GISELLE VIZCARRONDO,22,16.79
44,,WRITE-IN.,0,
45,,Blanks,19,12.67
