,0501 5A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1570,
1,BALLOTS CAST - TOTAL.,93,
2,VOTER TURNOUT . TOTAL,,5.92
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,33,10.86
6,JUSTIN J. HURST,64,21.05
7,KATERI B. WALSH,29,9.54
8,ERNESTO E. CRUZ . .,18,5.92
9,VICTOR G. DAVILA .,15,4.93
10,MARILYN FELIX .,4,1.32
11,JESSE LEDERMAN.,27,8.88
12,JYNAI S. McDONALD.,31,10.20
13,KELVIN MOLINA,7,2.30
14,KELLI P. MORIARTY-FINN,5,1.64
15,TIMOTHY RYAN,14,4.61
16,WILLIE J. THOMAS,7,2.30
17,TRACYE L. WHITFIELD,48,15.79
18,WRITE-IN.,2,.66
19,Blanks,161,34.62
20,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
21,DENISE MARIE HURST,56,37.33
22,JAMES M. ANZIANO,1,.67
23,LaMAR COOK,26,17.33
24,JAMES J. FERRERA III.,22,14.67
25,JOESIAH GONZALEZ,3,2.00
26,RYAN HESS,4,2.67
27,MICHAEL D. KOCSMIERSKY,3,2.00
28,LaTONIA MONROE NAYLOR,34,22.67
29,WRITE-IN.,1,.67
30,Blanks,36,19.35
31,SCHOOL COMMITTEE DISTRICT 2,,
32,VOTE FOR 1,,
33,BARBARA GRESHAM,35,47.95
34,STEPHANIE MURCHISON-BROWN,23,31.51
35,GISELLE VIZCARRONDO,14,19.18
36,WRITE-IN.,1,1.37
37,Blanks,20,21.51
