,0508 5H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1413,
1,BALLOTS CAST - TOTAL.,101,
2,VOTER TURNOUT - TOTAL,,7.15
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,60,15.38
6,JUSTIN J. HURST,64,16.41
7,KATERI B. WALSH,50,12.82
8,ERNESTO E. CRUZ,14,3.59
9,VICTOR G. DAVILA,22,5.64
10,MARILYN FELIX,18,4.62
11,JESSE LEDERMAN.,41,10.51
12,JYNAI S. McDONALD.,19,4.87
13,KELVIN MOLINA,4,1.03
14,KELLI P. MORIARTY-FINN,27,6.92
15,TIMOTHY RYAN,38,9.74
16,WILLIE J. THOMAS,7,1.79
17,TRACYE L. WHITFIELD,26,6.67
18,WRITE-IN.,0,
19,Blanks,115,22.77
20,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
21,DENISE MARIE HURST,62,35.23
22,JAMES M. ANZIANO,7,3.98
23,LaMAR COOK,12,6.82
24,JAMES J. FERRERA III.,43,24.43
25,JOESIAH GONZALEZ,7,3.98
26,RYAN HESS,19,10.80
27,MICHAEL D. KOCSMIERSKY,8,4.55
28,LaTONIA MONROE NAYLOR,18,10.23
29,WRITE-IN.,0,
30,Blanks,26,"12,87"
31,SCHOOL COMMITTEE DISTRICT 2,,
32,VOTE FOR 1,,
33,BARBARA GRESHAM,55,65.48
34,STEPHANIE MURCHISON-BROWN,17,20.24
35,GISELLE VIZCARRONDO,11,13.10
36,WRITE-IN.,1,"1,19"
37,Blanks,17,16.83
