,0602 6B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1712,
1,BALLOTS CAST - TOTAL.,167,
2,VOTER TURNOUT - TOTAL,,9.75
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,42,7.85
6,JUSTIN J. HURST,51,9.53
7,KATERI B. WALSH,89,16.64
8,ERNESTO E. CRUZ . . .,23,4.30
9,"VICTOR G. DAVILA . ,",40,7.48
10,MARILYN FELIX,17,3.18
11,JESSE LEDERMAN. .,96,17.94
12,JYNAI S. McDONALD. .,18,3.36
13,KELVIN MOLINA,13,2.43
14,KELLI P. MORIARTY-FINN,36,6.73
15,TIMOTHY RYAN,83,15.51
16,WILLIE J. THOMAS,4,.75
17,TRACYE L. WHITFIELD,22,4.11
18,WRITE-IN.,1,.19
19,Blanks,300,35.93
20,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
21,DENISE MARIE HURST,49,19.84
22,JAMES M. ANZIANO,12,4.86
23,LaMAR COOK,12,4.86
24,JAMES J. FERRERA III.,47,19.03
25,JOESIAH GONZALEZ,21,8.50
26,RYAN HESS,36,14.57
27,MICHAEL D. KOCSMIERSKY,18,7.29
28,LaTONIA MONROE NAYLOR,51,20.65
29,WRITE-IN.,1,.40
30,Blanks,87,26.05
