,0607 6G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1556,
1,BALLOTS CAST - TOTAL,84,
2,VOTER TURNOUT - TOTAL,,5.40
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,42,14.00
6,JUSTIN J. HURST,33,11.00
7,KATERI B. WALSH +,38,12.67
8,ERNESTO E. CRUZ . .,11,3.67
9,VICTOR G. DAVILA . . .,21,7.00
10,MARILYN FELIX,11,3.67
11,JESSE LEDERMAN.,32,10.67
12,JYNAI S. McDONALD. .,10,3.33
13,KELVIN MOLINA,9,3.00
14,KELLI P. MORIARTY-FINN,18,6.00
15,TIMOTHY RYAN,49,16.33
16,WILLIE J. THOMAS,8,2.67
17,TRACYE L. WHITFIELD,18,6.00
18,WRITE-IN.,0,
19,Blanks,120,28.57
20,SCHOOL COMMITTEE AT LARGE,,
21,VOTE FOR 2,,
22,DENISE MARIE HURST,36,25.35
23,JAMES M. ANZIANO,6,4.23
24,LaMAR COOK,5,3.52
25,JAMES J. FERRERA III.,28,19.72
26,JOESIAH GONZALEZ,4,2.82
27,RYAN HESS,22,15.49
28,MICHAEL D. KOCSMIERSKY,16,11.27
29,LaTONIA MONROE NAYLOR,25,17.61
30,WRITE-IN.,0,
31,Blanks,26,15.48
