,1E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1905,
1,BALLOTS CAST - TOTAL.,95,
2,VOTER TURNOUT - TOTAL,,4.99
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,33,11.38
5,JUSTIN J. HURST,35,12.07
6,KATERI B. WALSH,33,11.38
7,ERNESTO E. CRUZ .,34,11.72
8,VICTOR G. DAVILA,28,9.66
9,MARILYN FELIX,26,8.97
10,JESSE LEDERMAN.,21,7.24
11,JYNAI S. McDONALD.,8,2.76
12,KELVIN MOLINA,15,5.17
13,KELLI P. MORIARTY-FINN,10,3.45
14,TIMOTHY RYAN,19,6.55
15,WILLIE J. THOMAS,12,4.14
16,TRACYE L. WHITFIELD,16,5.52
17,WRITE-IN,0,
18,Blanks,185,38.95
19,SCHOOL COMMITTEE AT LARGE,,
20,VOTE FOR 2,,
21,DENISE MARIE HURST,38,25.50
22,JAMES M. ANZIANO,13,8.72
23,LaMAR COOK,6,4.03
24,JAMES J. FERRERA III.,27,18.12
25,JOESIAH GONZALEZ,36,24.16
26,RYAN HESS,3,2.01
27,MICHAEL D. KOCSMIERSKY,4,2.68
28,LaTONIA MONROE NAYLOR,21,14.09
29,WRITE-IN.,1,.67
30,Blanks,41,21.58
