,0404 4D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1264,
1,BALLOTS CAST - TOTAL,110,
2,VOTER TURNOUT - TOTAL,,8.70
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,68,62.39
6,ANTONETTE E. PEPE.,4,3.67
7,JOSE F. TOSADO.,37,33.94
8,WRITE-IN,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE. VOTE FOR 5,,
11,THOMAS ASHE.,19,6.31
12,JAMES J. FERRERA,19,6.31
13,TIMOTHY J. ROOKE,17,5.65
14,KATERI B. WALSH,34,11.30
15,BRUCE SAMUEL ADAMS JR,2,.66
16,DAVID F. CIAMPI,5,1.66
17,JOSEPH R. FOUNTAIN,6,1.99
18,JUSTIN J. HURST,52,17.28
19,AMAAD RIVERA,21,6.98
20,CHARLES H. RUCKS,36,11.96
21,MIGUEL A. SOTO.,17,5.65
22,JOHN W. STEVENS,8,2.66
23,BUD L. WILLIAMS,65,21.59
24,WRITE-IN.,0,
25,Blanks,249,
