,,0604 6D,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1487 324,
1,,BALLOTS CAST - TOTAL. TOTAL,,21.79
2,,VOTER TURNOUT - MAYOR,,
3,,VOTE FOR 1,210,65.02
4,,DOMENIC J. SARNO,74,22.91
5,,ANTONETTE E. PEPE.,39,12.07
6,,JOSE F. TOSADO.,0,
7,,WRITE-IN.,2,
8,,Blanks,,
9,,CITY COUNCIL AT LARGE,,
10,,VOTE FOR 5,205,17.81
11,,THOMAS ASHE.,140,12.16
12,,JAMES J. FERRERA,176,15.29
13,,TIMOTHY J. ROOKE,160,13.90
14,,KATERI B. WALSH,45,3.91
15,,BRUCE SAMUEL ADAMS JR,46,4.00
16,,DAVID F. CIAMPI,56,4.87
17,,JOSEPH R. FOUNTAIN,70,6.08
18,,JUSTIN J. HURST,65,5.65
19,,AMAAD RIVERA,39,3.39
20,,CHARLES H. RUCKS,18,1.56
21,,MIGUEL A. SOTO.,41,3.56
22,,JOHN W. STEVENS,90,7.82
23,,BUD L. WILLIAMS,0,
24,,WRITE-IN.,474,
25,,Blanks,,
