,0706 7F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1542 393,
1,BALLOTS CAST - TOTAL. VOTER TURNOUT - TOTAL,,25.49
2,MAYOR,,
3,VOTE FOR 1,281,71.87
4,DOMENIC J. SARNO,66,16.88
5,ANTONETTE E. PEPE.,44,11.25
6,JOSE F. TOSADO.,0,
7,WRITE-IN.,2,
8,Blanks,,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,232,16.62
11,THOMAS ASHE.,148,10.60
12,JAMES J. FERRERA,198,14.18
13,TIMOTHY J. ROOKE,177,12.68
14,KATERI B. WALSH,67,4.80
15,BRUCE SAMUEL. ADAMS JR,46,3.30
16,DAVID F. CIAMPI,59,4.23
17,JOSEPH R. FOUNTAIN,135,9.67
18,JUSTIN J. HURST,43,3.08
19,AMAAD RIVERA,60,4.30
20,CHARLES H. RUCKS,29,2.08
21,MIGUEL A. SOTO.,56,4.01
22,JOHN W. STEVENS,141,10.10
23,BUD L. WILLIAMS,5,.36
24,WRITE-IN.,569,
