,0802 8B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1527,
1,BALLOTS CAST - TOTAL.,177,
2,VOTER TURNOUT - TOTAL,,11.59
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,96,54.55
6,ANTONETTE E. PEPE.,31,17.61
7,JOSE F. TOSADO.,49,27.84
8,WRITE-IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,88,12.79
13,JAMES J. FERRERA,65,9.45
14,TIMOTHY J. ROOKE,74,10.76
15,KATERI B. WALSH,77,11.19
16,BRUCE SAMUEL ADAMS JR,28,4.07
17,DAVID F. CIAMPI,17,2.47
18,JOSEPH R. FOUNTAIN,31,4.51
19,JUSTIN J. HURST,67,9.74
20,AMAAD RIVERA,46,6.69
21,CHARLES H. RUCKS,49,7.12
22,MIGUEL A. SOTO.,41,5.96
23,JOHN W. STEVENS,23,3.34
24,BUD L. WILLIAMS,81,11.77
25,WRITE-IN.,1,.15
26,Blanks,197,
