,,0203 2C VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL,1404 168,
1,,BALLOTS CAST - TOTAL.,,11.97
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,133,81.60
5,,DOMENIC J. SARNO,27,16.56
6,,SALVATORE S. CIRCOSTA,3,1.84
7,,WRITE-IN.,5,
8,,Blanks,,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,122,18.89
11,,THOMAS ASHE.,74,11.46
12,,JUSTIN J. HURST,113,17.49
13,,TIMOTHY J. ROOKE,99,15.33
14,,KATERI B. WALSH,102,15.79
15,,BUD L. WILLIAMS,19,2.94
16,,LaMAR COOK,29,4.49
17,,JEFFERY P. DONNELLY,46,7.12
18,,JESSE L. LEDERMAN.,16,2.48
19,,"KENNETH S. POOLER, JR",22,3.41
20,,ALEXANDER J. SHERMAN.,4,.62
21,,WRITE-IN.,194,
22,,Blanks,,
23,,WARD TWO COUNCILLOR,,
24,,VOTE FOR 1,136,99.27
25,,MICHAEL A. FENTON.,1,.73
26,,WRITE-IN.,31,
27,,Blanks,,
28,,QUESTION 1,,
29,,VOTE FOR 1,122,78.71
30,,YES (SI),,33 21.29
31,,NO (NO),,13
32,,Blanks QUESTION 2,,
33,,VOTE FOR 1,,91 61.90
34,,YES (SI),,56 38.10
35,,NO (NO),,21
