,,0306 3F VOTES 1349,PERCENT,
0,,REGISTERED VOTERS - TOTAL 130,,
1,,BALLOTS CAST - TOTAL.,9.64,
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1 105,82.68,
5,,DOMENIC J. SARNO 21,16.54,
6,,SALVATORE S. CIRCOSTA 1,.79,
7,,WRITE-IN.,3,
8,,Blanks,,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,70 14.71,
11,,THOMAS ASHE.,59 12.39,
12,,JUSTIN J. HURST,65 13.66,
13,,TIMOTHY J. ROOKE,77 16.18,
14,,KATERI B. WALSH,66 13.87,
15,,BUD L. WILLIAMS,31 6.51,
16,,LaMAR COOK,22 4.62,
17,,JEFFERY P. DONNELLY,48 10.08,
18,,JESSE L. LEDERMAN.,19 3.99,
19,,"KENNETH S. POOLER, JR",18 3.78,
20,,ALEXANDER J. SHERMAN.,1 .21,
21,,WRITE-IN.,174,
22,,Blanks WARD THREE COUNCILLOR,,
23,,VOTE FOR 1,74 64.91,
24,,MELVIN A. EDWARDS.,39 34.21,
25,,YOLANDA R. L. CANCEL.,1 .88,
26,,WRITE-IN.,16,
27,,Blanks,,
28,,QUESTION 1,,
29,,VOTE FOR 1,69 61.61,
30,,YES (SI),43 38.39,
31,,NO (NO),18,
32,,Blanks,,
33,,,,
34,,QUESTION 2,,
35,,VOTE FOR 1,54,52.43
36,,YES (SI),49,47.57
37,,NO (NO) Blanks,27,
