,REGISTERED VOTERS - TOTAL,VOTES 1172,PERCENT
0,BALLOTS CAST - TOTAL.,97,
1,VOTER TURNOUT . TOTAL,,8.28
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,72,74.23
5,SALVATORE S. CIRCOSTA,22,22.68
6,WRITE-IN.,3,3.09
7,Blanks,0,
8,COUNCILLOR AT LARGE VOTE FOR 5,,
9,THOMAS ASHE.,57,15.57
10,JUSTIN J. HURST,55,15.03
11,TIMOTHY J. ROOKE,56,15.30
12,KATERI B. WALSH,51,13.93
13,BUD L. WILLIAMS,66,18.03
14,LaMAR COOK,18,4.92
15,JEFFERY P. DONNELLY,11,3.01
16,JESSE L. LEDERMAN.,17,4.64
17,"KENNETH S. POOLER, JR",14,3.83
18,ALEXANDER J. SHERMAN.,19,5.19
19,WRITE-IN.,2,.55
20,Blanks,119,
21,WARD THREE COUNCILLOR,,
22,VOTE FOR 1,,
23,MELVIN A. EDWARDS.,55,67.07
24,YOLANDA R. L. CANCEL.,27,32.93
25,WRITE-IN.,0,
26,Blanks,15,
27,QUESTION 1,,
28,VOTE FOR 1,,
29,YES (SI),60,68.97
30,NO (NO),27,31.03
31,Blanks,10,
32,QUESTION 2,,
33,VOTE FOR 1,,
34,YES (SI),57,67.06
35,NO (NO),28,32.94
36,Blanks,12,
