,,0707 7G VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL,1713 483,
1,,BALLOTS CAST - TOTAL.,,28.20
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,368,78.63
5,,DOMENIC J. SARNO,99,21.15
6,,SALVATORE S. CIRCOSTA,1,.21
7,,WRITE-IN.,15,
8,,Blanks,,
9,,COUNCILLOR AT LARGE,,
10,,VOTE FOR 5,303,17.19
11,,THOMAS ASHE.,223,12.65
12,,JUSTIN J. HURST,286,16.22
13,,TIMOTHY J. ROOKE,241,13.67
14,,KATERI B. WALSH,213,12.08
15,,BUD L. WILLIAMS,69,3.91
16,,LaMAR COOK,93,5.28
17,,JEFFERY P. DONNELLY,106,6.01
18,,JESSE L. LEDERMAN.,81,4.59
19,,"KENNETH S. POOLER, JR",147,8.34
20,,ALEXANDER J. SHERMAN.,1,.06
21,,WRITE-IN.,653,
22,,Blanks,,
23,,WARD SEVEN COUNCILLOR,,
24,,VOTE FOR 1,312,74.64
25,,TIMOTHY C. ALLEN,106,25.36
26,,LILLIAN GRAY,0,
27,,WRITE-IN.,65,
28,,Blanks,,
29,,QUESTION 1,,
30,,VOTE FOR 1,291,65.69
31,,YES (SI),152,34.31
32,,NO (NO),40,
33,,Blanks,,
34,,QUESTION 2,,
35,,VOTE FOR 1,189,46.44
36,,YES (SI),218,53.56
37,,NO (NO),,76
