,0102 1B VOTES,1709,PERCENT
0,REGISTERED VOTERS - TOTAL,298,
1,BALLOTS CAST - TOTAL.,,17.44
2,VOTER TURNOUT - TOTAL,,
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,110,13.73
5,THOMAS M. ASHE.,102,12.73
6,JAMES J. FERRERA,55,6.87
7,TIMOTHY ROOKE,71,8.86
8,KATERI B. WALSH,123,15.36
9,BUD L. WILLIAMS,36,4.49
10,JOSHUA CARPENTER,165,20.60
11,ERNESTO E. CRUZ,27,3.37
12,JEFFERY P. DONNELLY,110,13.73
13,JUSTIN J. HURST,2,.25
14,WRITE-IN.,689,
15,Blanks,,
16,CITY COUNCIL WARD 1,,
17,VOTE FOR 1,130,44.83
18,ZAIDA LUNA,160,55.17
19,JOSE L. CLAUDIO,,0
20,WRITE-IN.,,8
21,Blanks,,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,168 48.84
24,DENISE M. HURST,,102 29.65
25,ANTONETTE PEPE.,,73 21.22
26,CALVIN J. McFADDEN,,1 .29
27,WRITE-IN.,,252
28,Blanks,,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,126 46.84
31,NORMAN ROLDAN,,142 52.79
32,ROSA PEREZ,,1 .37
33,WRITE-IN. Blanks,,29
