,0405 4E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1545,
1,BALLOTS CAST - TOTAL.,104,
2,VOTER TURNOUT - TOTAL,,6.73
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,33,11.74
6,JAMES J. FERRERA,27,9.61
7,TIMOTHY ROOKE,17,6.05
8,KATERI B. WALSH,32,11.39
9,BUD L. WILLIAMS,65,23.13
10,JOSHUA CARPENTER .,7,2.49
11,ERNESTO E. CRUZ,33,11.74
12,JEFFERY P. DONNELLY,8,2.85
13,JUSTIN J. HURST,59,21.00
14,WRITE-IN.,0,
15,Blanks,239,
16,CITY COUNCIL WARD 4 VOTE FOR 1,,
17,E. HENRY TWIGGS,75,98.68
18,WRITE-IN,1,1.32
19,Blanks,28,
20,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
21,DENISE M. HURST,69,43.67
22,ANTONETTE PEPE.,17,10.76
23,CALVIN J. McFADDEN,70,44.30
24,WRITE-IN.,2,1.27
25,Blanks,50,
26,SCHOOL COMMITTEE DISTRICT 2,,
27,VOTE FOR 1,,
28,BARBARA GRESHAM,61,98.39
29,WRITE-IN.,1,1.61
30,Blanks,42,
