,0501 5A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1437,
1,BALLOTS CAST - TOTAL.,183,
2,VOTER TURNOUT - TOTAL,,12.73
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,83,14.24
6,JAMES J. FERRERA,47,8.06
7,TIMOTHY ROOKE,58,9.95
8,KATERI B. WALSH . .,70,12.01
9,BUD L. WILLIAMS . . .,136,23.33
10,JOSHUA CARPENTER .,10,1.72
11,ERNESTO E. CRUZ .,47,8.06
12,JEFFERY P. DONNELLY .,9,1.54
13,JUSTIN J. HURST,122,20.93
14,WRITE-IN,1,.17
15,Blanks,332,
16,CITY COUNCIL WARD 5 VOTE FOR 1,,
17,CLODO CONCEPCION,88,72.13
18,MICHAEL BELANGER,34,27.87
19,WRITE-IN,0,
20,Blanks,61,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE M. HURST,129,45.74
23,ANTONETTE PEPE.,38,13.48
24,CALVIN J. McFADDEN,115,40.78
25,WRITE-IN,0,
26,Blanks,84,
27,SCHOOL COMMITTEE DISTRICT 2,,
28,VOTE FOR 1,,
29,BARBARA GRESHAM,94,97.92
30,WRITE-IN.,2,2.08
31,Blanks,87,
