,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1557,
1,,BALLOTS CAST - TOTAL.,120,
2,,VOTER TURNOUT - TOTAL,,7.71
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS M. ASHE.,63,14.55
6,,JAMES J. FERRERA,53,12.24
7,,TIMOTHY ROOKE .,49,11.32
8,,KATERI B. WALSH .,54,12.47
9,,BUD L. WILLIAMS .,53,12.24
10,,JOSHUA CARPENTER .,18,4.16
11,,ERNESTO E. CRUZ .,38,8.78
12,,JEFFERY P. DONNELLY,28,6.47
13,,JUSTIN J. HURST,74,17.09
14,,WRITE-IN.,3,.69
15,,Blanks,167,
16,,CITY COUNCIL WARD 7,,
17,,VOTE FOR 1,,
18,,TIMOTHY C. ALLEN,76,97.44
19,,WRITE-IN,2,2.56
20,,Blanks,42,
21,,SCHOOL COMMITTEE AT LARGE,,
22,,VOTE FOR 2,,
23,,DENISE M. HURST,66,36.07
24,,ANTONETTE PEPE.,54,29.51
25,,CALVIN J. McFADDEN,63,34.43
26,,WRITE-IN.,0,
27,,Blanks,57,
28,,SCHOOL COMMITTEE DISTRICT 3,,
29,,VOTE FOR 1,,
30,,CHRISTOPHER COLLINS,71,97.26
31,,WRITE-IN.,2,2.74
32,,Blanks,47,
