,,0106 1F,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1649,
1,,BALLOTS CAST - TOTAL,217,
2,,VOTER TURNOUT - TOTAL,,13.16
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS M. ASHE.,69,12.92
6,,JAMES J. FERRERA,84,15.73
7,,TIMOTHY ROOKE,49,9.18
8,,KATERI B. WALSH .,63,11.80
9,,BUD L. WILLIAMS .,74,13.86
10,,JOSHUA CARPENTER,21,3.93
11,,ERNESTO E. CRUZ,67,12.55
12,,JEFFERY P. DONNELLY,36,6.74
13,,JUSTIN J. HURST,70,13.11
14,,WRITE-IN.,1,.19
15,,Blanks,551,
16,,CITY COUNCIL WARD 1,,
17,,VOTE FOR 1,,
18,,ZAIDA LUNA,107,55.44
19,,JOSE L. CLAUDIO,86,44.56
20,,WRITE-IN,0,
21,,Blanks,24,
22,,SCHOOL COMMITTEE AT LARGE,,
23,,VOTE FOR 2,,
24,,DENISE M. HURST,97,42.36
25,,ANTONETTE PEPE.,66,28.82
26,,CALVIN J. McFADDEN,65,28.38
27,,WRITE-IN.,1,.44
28,,Blanks,205,
29,,SCHOOL COMMITTEE DISTRICT 1,,
30,,VOTE FOR 1,,
31,,NORMAN ROLDAN,70,38.46
32,,ROSA PEREZ,111,60.99
33,,WRITE-IN.,1,.55
34,,Blanks,35,
