,0201 2A,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1547,,
1,BALLOTS CAST - TOTAL.,100,,
2,VOTER TURNOUT - TOTAL,,6.46,
3,CITY COUNCIL AT LARGE,,,
4,VOTE FOR 5,,,
5,THOMAS M. ASHE.,62,18.67,
6,JAMES J. FERRERA,37,11.14,
7,TIMOTHY ROOKE,54,16.27,
8,KATERI B. WALSH . .,48,14.46,
9,BUD L. WILLIAMS .,45,13.55,
10,JOSHUA CARPENTER .,9,2.71,
11,ERNESTO E. CRUZ,19,5.72,
12,JEFFERY P. DONNELLY,14,4.22,
13,JUSTIN J. HURST,42,12.65,
14,WRITE-IN,2,.60,
15,Blanks,168,,
16,CITY COUNCIL WARD 2,,,
17,VOTE FOR 1,,,
18,MICHAEL A. FENTON.,76,100.00,
19,WRITE-IN.,0,,
20,Blanks,24,,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,,
22,DENISE M. HURST,50,36.50,
23,ANTONETTE PEPE.,57,41.61,
24,CALVIN J. McFADDEN,30,21.90,
25,WRITE-IN.,0,,
26,Blanks,63,,
27,SCHOOL COMMITTEE DISTRICT 4,,,
28,VOTE FOR 1,,,
29,PETER M. MURPHY,64,74.42,
30,ZAIDA GOVAN.,22,25.58,
31,WRITE-IN.,0,,
32,Blanks,14,,
