,,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1715,,
1,BALLOTS CAST - TOTAL,297,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,17.32,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,241,82.25,
8,Yolanda Cancel,52,17.75,
9,WRITE-IN.,0,,
10,Blanks,4,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,133,12.96,
13,Jesse Lederman.,115,11.21,
14,Kateri B. Walsh,134,13.06,
15,Tracye L. Whitfield,115,11.21,
16,LaMar Cook,44,4.29,
17,Sean Curran.,167,16.28,
18,Johnnie Ray Mcknight,28,2.73,
19,Kelli P. Moriarty-Finn,98,9.55,
20,Christopher J. Pohner,125,12.18,
21,Israel Rivera,67,6.53,
22,WRITE-IN.,0,,
23,Blanks,459,,
24,CITY COUNCIL WARD 2,,,
25,Vote for 1,,,
26,Michael A. Fenton.,217,98.64,
27,WRITE-IN.,3,1.36,
28,Blanks,77,,
