,0103 1C,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1373,,
1,BALLOTS CAST - TOTAL.,103,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,7.50,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,70,70.71,
8,Yolanda Cancel,29,29.29,
9,WRITE-IN.,0,,
10,Blanks,4,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,47,13.06,
13,Jesse Lederman.,47,13.06,
14,Kateri B. Walsh,48,13.33,
15,Tracye L. Whitfield,27,7.50,
16,LaMar Cook,27,7.50,
17,Sean Curran.,37,10.28,
18,Johnnie Ray Mcknight.,26,7.22,
19,Kelli P. Moriarty-Finn,19,5.28,
20,Christopher J. Pohner,17,4.72,
21,Israel Rivera,62,17.22,
22,WRITE-IN.,3,.83,
23,Blanks,155,,
24,CITY COUNCIL WARD 1,,,
25,Vote for 1,,,
26,Adam Gomez,76,98.70,
27,WRITE-IN.,1,1.30,
28,Blanks,26,,
