,0506 5F,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1713,,
1,BALLOTS CAST - TOTAL.,372,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,21.72,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,289,78.96,
8,Yolanda Cancel,75,20.49,
9,WRITE-IN.,2,.55,
10,Blanks,5,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,237,17.30,
13,Jesse Lederman.,162,11.82,
14,Kateri B. Walsh,190,13.87,
15,Tracye L. Whitfield,213,15.55,
16,LaMar Cook,81,5.91,
17,Sean Curran.,134,9.78,
18,Johnnie Ray Mcknight.,73,5.33,
19,Kelli P. Moriarty-Finn,109,7.96,
20,Christopher J. Pohner,83,6.06,
21,Israel Rivera,85,6.20,
22,WRITE-IN.,3,.22,
23,Blanks,490,,
24,CITY COUNCIL WARD 5,,,
25,Vote for 1,,,
26,Marcus J. Williams,207,64.49,
27,Edward Green,113,35.20,
28,WRITE-IN.,1,.31,
29,Blanks,51,,
