,0304 3D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1702,
1,BALLOTS CAST - TOTAL.,96,
2,VOTER TURNOUT - TOTAL,,5.64
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,30,10.49
5,JUSTIN J. HURST,47,16.43
6,KATERI B. WALSH .,31,10.84
7,ERNESTO E. CRUZ .,26,9.09
8,VICTOR G. DAVILA,22,7.69
9,JESSE LEDERMAN. .,27,9.44
10,JYNAI S. McDONALD.,27,9.44
11,KELLI P. MORIARTY-FINN,16,5.59
12,TIMOTHY RYAN,22,7.69
13,TRACYE L. WHITFIELD,37,12.94
14,WRITE-IN.,1,.35
15,Blanks,194,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,55,61.80
19,KEVIN J. DUMPSON,33,37.08
20,WRITE-IN.,1,1.12
21,Blanks,7,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,46,33.82
24,JAMES J. FERRERA III.,23,16.91
25,RYAN HESS,10,7.35
26,LaTONIA MONROE NAYLOR,55,40.44
27,WRITE-IN.,2,1.47
28,Blanks,56,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,MARIA PEREZ.,56,93.33
32,WRITE-IN.,4,6.67
33,Blanks,36,
