,0507 5G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1773,
1,BALLOTS CAST - TOTAL.,264,
2,VOTER TURNOUT - TOTAL,,14.89
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,133,12.26
5,JUSTIN J. HURST,153,14.10
6,KATERI B. WALSH,121,11.15
7,ERNESTO E. CRUZ,49,4.52
8,VICTOR G. DAVILA,71,6.54
9,JESSE LEDERMAN. .,133,12.26
10,JYNAI S. McDONALD.,79,7.28
11,KELLI P. MORIARTY-FINN,108,9.95
12,TIMOTHY RYAN,130,11.98
13,TRACYE L. WHITFIELD,106,9.77
14,WRITE-IN.,2,.18
15,Blanks,235,
16,CITY COUNCIL WARD 5 VOTE FOR 1,,
17,MARCUS J. WILLIAMS,185,98.93
18,WRITE-IN.,2,1.07
19,Blanks,77,
20,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
21,DENISE MARIE HURST,158,34.65
22,JAMES J. FERRERA III.,119,26.10
23,RYAN HESS,80,17.54
24,LaTONIA MONROE NAYLOR,97,21.27
25,WRITE-IN.,2,.44
26,Blanks,72,
27,SCHOOL COMMITTEE DISTRICT 2,,
28,VOTE FOR 1,,
29,BARBARA GRESHAM,119,53.60
30,STEPHANIE MURCHISON-BROWN,102,45.95
31,WRITE-IN.,1,.45
32,Blanks,42,
