,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1692,
1,BALLOTS CAST - TOTAL.,129,
2,VOTER TURNOUT - TOTAL,,7.62
3,CITY COUNCIL AT LARGE VOTE FOR 5,,
4,THOMAS ASHE.,55,12.06
5,JUSTIN J. HURST,75,16.45
6,KATERI B. WALSH .,53,11.62
7,ERNESTO E. CRUZ . .,46,10.09
8,VICTOR G. DAVILA,26,5.70
9,JESSE LEDERMAN. . .,53,11.62
10,JYNAI S. McDONALD.,26,5.70
11,KELLI P. MORIARTY-FINN .,23,5.04
12,TIMOTHY RYAN,40,8.77
13,TRACYE L. WHITFIELD,54,11.84
14,WRITE-IN.,5,1.10
15,Blanks,189,
16,CITY COUNCIL WARD 8 VOTE FOR 1,,
17,ORLANDO RAMOS,89,90.82
18,WRITE-IN.,9,9.18
19,Blanks,31,
20,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
21,DENISE MARIE HURST,86,42.57
22,JAMES J. FERRERA III.,49,24.26
23,RYAN HESS,11,5.45
24,LaTONIA MONROE NAYLOR,55,27.23
25,WRITE-IN.,1,.50
26,Blanks,56,
27,SCHOOL COMMITTEE DISTRICT 4,,
28,VOTE FOR 1,,
29,PETER MURPHY,43,44.79
30,ZAIDA GOVAN.,53,55.21
31,WRITE-IN.,0,
32,Blanks,33,
