,0203 2C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1557,
1,BALLOTS CAST - TOTAL.,316,
2,VOTER TURNOUT - TOTAL,,20.30
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,201,64.01
6,JOSE F. TOSADO.,113,35.99
7,WRITE-IN.,0,
8,Blanks,2,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,180,15.58
12,JAMES J. FERRERA,137,11.86
13,TIMOTHY J. ROOKE .,160,13.85
14,KATERI B. WALSH . .,139,12.03
15,JOSEPH R. FOUNTAIN,88,7.62
16,JUSTIN J. HURST .,70,6.06
17,AMAAD RIVERA .,101,8.74
18,CHARLES H. RUCKS,55,4.76
19,MIGUEL A. SOTO.,99,8.57
20,BUD L. WILLIAMS,124,10.74
21,WRITE-IN,2,.17
22,Blanks,424,
23,CITY COUNCIL WARD 2,,
24,VOTE FOR 1,,
25,MICHAEL A. FENTON.,247,99.20
26,WRITE-IN.,2,.80
27,Blanks,67,
