,0308 3H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1470,
1,BALLOTS CAST - TOTAL.,171,
2,VOTER TURNOUT - TOTAL,,11.63
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,118,69.41
6,JOSE F. TOSADO.,52,30.59
7,WRITE-IN.,0,
8,Blanks,1,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,77,12.81
11,JAMES J. FERRERA,74,12.31
12,TIMOTHY J. ROOKE,68,11.31
13,KATERI B. WALSH,73,12.15
14,JOSEPH R. FOUNTAIN,30,4.99
15,JUSTIN J. HURST .,48,7.99
16,AMAAD RIVERA,68,11.31
17,CHARLES H. RUCKS,41,6.82
18,MIGUEL A. SOTO.,46,7.65
19,BUD L. WILLIAMS,71,11.81
20,WRITE-IN.,5,.83
21,Blanks,254,
22,CITY COUNCIL WARD 3,,
23,VOTE FOR 1,,
24,MELVIN A. EDWARDS.,86,96.63
25,WRITE-IN.,3,3.37
26,Blanks,82,
