,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1426,
1,,BALLOTS CAST - TOTAL.,333,
2,,VOTER TURNOUT - TOTAL,,23.35
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,249,75.45
6,,JOSE F. TOSADO.,81,24.55
7,,WRITE-IN,0,
8,,Blanks,3,
9,,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,,THOMAS ASHE.,205,16.19
11,,JAMES J. FERRERA,151,11.93
12,,TIMOTHY J. ROOKE,161,12.72
13,,KATERI B. WALSH .,151,11.93
14,,JOSEPH R. FOUNTAIN,120,9.48
15,,JUSTIN J. HURST .,102,8.06
16,,AMAAD RIVERA,79,6.24
17,,CHARLES H. RUCKS,89,7.03
18,,MIGUEL A. SOTO.,91,7.19
19,,BUD L. WILLIAMS,117,9.24
20,,WRITE-IN.,0,
21,,Blanks,397,
22,,CITY COUNCIL WARD 8,,
23,,VOTE FOR 1,,
24,,JOHN A. LYSAK,177,58.03
25,,ORLANDO RAMOS,128,41.97
26,,WRITE-IN.,0,
27,,Blanks,28,
