,0106 1F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1717,
1,BALLOTS CAST - TOTAL.,270,
2,VOTER TURNOUT - TOTAL,,15.73
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,141,52.61
6,JOSE F. TOSADO.,127,47.39
7,WRITE-IN.,0,
8,Blanks,2,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,106,11.47
11,JAMES J. FERRERA,119,12.88
12,TIMOTHY J. ROOKE,83,8.98
13,KATERI B. WALSH - .,88,9.52
14,JOSEPH R. FOUNTAIN .,65,7.03
15,JUSTIN J. HURST .,70,7.58
16,AMAAD RIVERA,120,12.99
17,CHARLES H. RUCKS,49,5.30
18,MIGUEL A. SOTO.,119,12.88
19,BUD L. WILLIAMS,98,10.61
20,WRITE-IN.,7,.76
21,Blanks,426,
22,CITY COUNCIL WARD 1,,
23,VOTE FOR 1,,
24,ZAIDA LUNA,190,96.45
25,WRITE-IN.,7,3.55
26,Blanks,73,
