,,0805 8E,,
0,,,VOTES,PERCENT
1,,REGISTERED VOTERS - TOTAL,1270,
2,,BALLOTS CAST - TOTAL.,198,
3,,VOTER TURNOUT - TOTAL,,15.59
4,,MAYOR,,
5,,VOTE FOR 1,,
6,,DOMENIC J. SARNO,140,71.07
7,,JOSE F. TOSADO.,57,28.93
8,,WRITE-IN.,0,
9,,Blanks,1,
10,,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,,THOMAS ASHE.,99,14.37
12,,JAMES J. FERRERA,70,10.16
13,,TIMOTHY J. ROOKE,81,11.76
14,,KATERI B. WALSH .,93,13.50
15,,JOSEPH R. FOUNTAIN .,49,7.11
16,,JUSTIN J. HURST .,64,9.29
17,,AMAAD RIVERA .,41,5.95
18,,CHARLES H. RUCKS,45,6.53
19,,MIGUEL A. SOTO.,69,10.01
20,,BUD L. WILLIAMS,71,10.30
21,,WRITE-IN.,7,1.02
22,,Blanks,301,
23,,CITY COUNCIL WARD 8,,
24,,VOTE FOR 1,,
25,,JOHN A. LYSAK,110,58.82
26,,ORLANDO RAMOS,76,40.64
27,,WRITE-IN.,1,.53
28,,Blanks,11,
