,0
0,ABINGTON_-_1
1,ABINGTON_-_2
2,ABINGTON_-_3
3,ABINGTON_-_4
4,ABINGTON_-_5
5,ACTON_-_2
6,ACUSHNET_-_1
7,ACUSHNET_-_2
8,ACUSHNET_-_3
9,ADAMS_-_1
10,ADAMS_-_2
11,ADAMS_-_3
12,ADAMS_-_4
13,ADAMS_-_5
14,AGAWAM_-_1
15,AGAWAM_-_2
16,AGAWAM_-_4
17,AGAWAM_-_5
18,AMESBURY_-_1
19,AMESBURY_-_2
20,AMESBURY_-_3
21,AMESBURY_-_4
22,AMESBURY_-_5
23,AMESBURY_-_6
24,AMHERST_-_5
25,AMHERST_-_9
26,ANDOVER_-_1
27,ARLINGTON_-_1
28,ARLINGTON_-_10
29,ARLINGTON_-_11
30,ARLINGTON_-_12
31,ARLINGTON_-_13
32,ARLINGTON_-_15
33,ARLINGTON_-_16
34,ARLINGTON_-_17
35,ARLINGTON_-_18
36,ARLINGTON_-_19
37,ARLINGTON_-_2
38,ARLINGTON_-_20
39,ARLINGTON_-_21
40,ARLINGTON_-_3
41,ARLINGTON_-_4
42,ARLINGTON_-_5
43,ARLINGTON_-_6
44,ARLINGTON_-_7
45,ARLINGTON_-_9
46,ASHBY_-_1
47,ASHLAND_-_1
48,ASHLAND_-_2
49,ASHLAND_-_3
50,ASHLAND_-_4
51,ASHLAND_-_5
52,ATHOL_-_1
53,ATHOL_-_2
54,ATHOL_-_3
55,AUBURN_-_1
56,AUBURN_-_2
57,AUBURN_-_3
58,AUBURN_-_4
59,AUBURN_-_5
60,AVON_-_1
61,AYER_-_1
62,AYER_-_2
63,BARRE_-_2
64,BEDFORD_-_1
65,BEDFORD_-_2
66,BEDFORD_-_3
67,BELCHERTOWN_-_B
68,BELCHERTOWN_-_C
69,BELCHERTOWN_-_D
70,BELLINGHAM_-_1
71,BELLINGHAM_-_2
72,BELLINGHAM_-_3
73,BELMONT_-_4
74,BERKLEY_-_1
75,BERKLEY_-_2
76,BERLIN_-_1
77,BEVERLY_1_1
78,BEVERLY_1_2
79,BEVERLY_2_1
80,BEVERLY_2_2
81,BEVERLY_3_1
82,BEVERLY_3_2
83,BEVERLY_4_1
