,Locality,Ward,Pct,Locality_WP,Total:Population of one race:White,Total:Population of one race:Black or African American,Total:Population of one race:American Indian and Alaska Native,Total:Population of one race:Asian,Total:Population of one race:Native Hawaiian and Other Pacific Islander,Total:Population of one race:Some other race,Total:Population of two or more races:,Total:Population of two or more races:Two races including Some other race,"Total:Population of two or more races:Two races excluding Some other race, and three or more races",Total:Population of two or more races:Population of two races:,Total:Population of two or more races:Population of two races:White; Black or African American,Total:Population of two or more races:Population of two races:White; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:White; Asian,Total:Population of two or more races:Population of two races:Black or African American; American Indian and Alaska Native,Total:Population of two or more races:Population of two races:All other two race combinations,Total:Population of two or more races:Population of three races,Total:Population of two or more races:Population of four or more races
0,ABINGTON,-,1,ABINGTON_-_1,130066,12649,386,3870,0,4668,5122,1733,3389,5050,1799,544,790,25,1892,72,0
1,ABINGTON,-,2,ABINGTON_-_2,158272,2252,0,3545,8,2208,3616,475,3141,3504,1628,584,817,0,475,30,82
2,ABINGTON,-,3,ABINGTON_-_3,104670,2394,63,3425,8,1812,2043,176,1867,1903,881,318,480,0,224,58,82
3,ABINGTON,-,4,ABINGTON_-_4,106625,9663,113,3411,0,3707,3368,1072,2296,3270,1046,422,639,16,1147,98,0
4,ABINGTON,-,5,ABINGTON_-_5,77872,1298,0,2088,0,1180,2100,312,1788,2100,976,320,492,0,312,0,0
5,ACTON,-,1,ACTON_-_1,53885,945,48,10815,22,641,1558,141,1417,1471,244,190,854,2,181,56,31
6,ACTON,-,2,ACTON_-_2,4253,41,0,1000,0,94,173,0,173,173,29,75,69,0,0,0,0
7,ACTON,-,3,ACTON_-_3,19844,104,8,1847,0,344,618,83,535,610,80,108,303,22,97,8,0
8,ACTON,-,4,ACTON_-_4,15591,63,8,847,0,250,445,83,362,437,51,33,234,22,97,8,0
9,ACTON,-,5,ACTON_-_5,32201,1633,7,3566,0,948,1320,234,1086,1196,342,126,492,2,234,90,34
10,ACTON,-,6,ACTON_-_6,10470,694,0,1252,0,506,438,123,315,385,91,83,86,2,123,53,0
11,ACUSHNET,-,1,ACUSHNET_-_1,46869,130,0,1656,42,2502,1035,366,669,864,203,156,139,0,366,171,0
12,ACUSHNET,-,2,ACUSHNET_-_2,50434,208,16,636,20,1775,1055,282,773,780,265,111,116,6,282,275,0
13,ACUSHNET,-,3,ACUSHNET_-_3,19328,14,0,414,0,726,576,214,362,442,104,76,48,0,214,134,0
14,ADAMS,-,1,ADAMS_-_1,21961,217,0,54,0,253,382,28,354,378,170,53,123,4,28,4,0
15,ADAMS,-,2,ADAMS_-_2,23650,276,4,56,0,356,460,28,432,440,164,134,110,4,28,20,0
16,ADAMS,-,3,ADAMS_-_3,23796,302,18,91,0,135,384,21,363,376,192,35,122,6,21,8,0
17,ADAMS,-,4,ADAMS_-_4,16452,316,18,104,0,40,349,0,349,345,224,34,84,3,0,4,0
18,ADAMS,-,5,ADAMS_-_5,27367,280,20,178,0,212,487,22,465,477,227,99,124,5,22,10,0
19,AGAWAM,-,1,AGAWAM_-_1,35528,1172,38,1676,0,620,1272,272,1000,1028,266,234,198,16,314,244,0
20,AGAWAM,-,2,AGAWAM_-_2,21728,342,46,919,0,538,231,28,203,231,103,54,19,0,55,0,0
21,AGAWAM,-,4,AGAWAM_-_4,41956,2310,56,2047,0,1685,1486,356,1130,1224,325,252,208,16,423,262,0
22,AGAWAM,-,5,AGAWAM_-_5,6428,1138,18,371,0,1065,214,84,130,196,59,18,10,0,109,18,0
23,ALFORD,-,1,ALFORD_-_1,10867,340,101,266,13,245,115,1,114,115,55,11,36,2,11,0,0
24,AMESBURY,-,1,AMESBURY_-_1,62427,605,24,658,44,271,829,34,795,717,254,116,295,0,52,112,0
25,AMESBURY,-,2,AMESBURY_-_2,64454,576,144,858,88,348,1112,68,1044,828,274,172,314,0,68,260,24
26,AMESBURY,-,3,AMESBURY_-_3,61312,448,180,783,66,264,1045,51,994,755,293,137,274,0,51,254,36
27,AMESBURY,-,4,AMESBURY_-_4,24075,20,144,279,0,6,415,0,415,261,175,12,74,0,0,118,36
28,AMESBURY,-,5,AMESBURY_-_5,43343,67,48,439,0,197,701,0,701,615,314,12,289,0,0,74,12
29,AMESBURY,-,6,AMESBURY_-_6,34754,64,96,314,0,12,582,0,582,458,274,24,160,0,0,100,24
30,AMHERST,-,1,AMHERST_-_1,44894,3175,416,8307,388,404,2359,478,1881,1965,717,65,544,51,588,342,52
31,AMHERST,-,10,AMHERST_-_10,52481,2089,376,8086,149,429,1762,216,1546,1599,504,122,507,91,375,150,13
32,AMHERST,-,2,AMHERST_-_2,49529,2863,399,8107,339,641,2668,423,2245,2300,1060,104,567,47,522,265,103
33,AMHERST,-,3,AMHERST_-_3,45545,3184,466,9017,485,384,2600,521,2079,2129,812,48,604,34,631,406,65
34,AMHERST,-,4,AMHERST_-_4,35268,1404,225,4321,39,298,890,130,760,847,227,97,227,81,215,43,0
35,AMHERST,-,5,AMHERST_-_5,54174,2677,292,6697,96,939,2586,287,2299,2398,1242,182,513,77,384,60,128
36,AMHERST,-,6,AMHERST_-_6,40459,4052,201,6978,234,1162,3723,537,3186,3287,1870,141,668,10,598,218,218
37,AMHERST,-,7,AMHERST_-_7,11321,580,77,948,13,105,266,51,215,266,66,35,68,27,70,0,0
38,AMHERST,-,8,AMHERST_-_8,31063,2742,42,3487,18,903,2320,287,2033,2114,1213,104,456,17,324,78,128
39,AMHERST,-,9,AMHERST_-_9,55701,2679,352,9384,158,720,2627,288,2339,2370,1022,146,667,74,461,180,77
40,ANDOVER,-,1,ANDOVER_-_1,74880,2270,47,15103,0,616,2022,246,1776,1952,222,198,1202,0,330,70,0
41,ANDOVER,-,2,ANDOVER_-_2,110503,5630,110,13319,0,7450,3260,584,2676,3209,943,134,1468,0,664,51,0
42,ANDOVER,-,3,ANDOVER_-_3,94247,3460,89,16444,0,1986,2634,402,2232,2561,293,198,1584,0,486,73,0
43,ANDOVER,-,4,ANDOVER_-_4,55607,4143,112,2957,0,9716,1715,341,1374,1689,835,2,463,24,365,26,0
44,ANDOVER,-,5,ANDOVER_-_5,21061,686,6,1005,0,143,458,11,447,441,204,117,104,0,16,17,0
45,ANDOVER,-,6,ANDOVER_-_6,15911,358,6,776,0,39,429,1,428,412,204,110,92,0,6,17,0
46,ANDOVER,-,7,ANDOVER_-_7,38088,1419,0,2297,20,515,996,234,762,768,164,106,232,0,266,228,0
47,ANDOVER,-,8,ANDOVER_-_8,54862,1421,11,6535,10,557,1181,244,937,1044,156,119,481,0,288,137,0
48,ANDOVER,-,9,ANDOVER_-_9,28606,958,25,5275,0,206,746,82,664,722,74,66,472,0,110,24,0
49,AQUINNAH,-,1,AQUINNAH_-_1,7696,104,232,56,0,30,322,10,312,248,124,46,2,20,56,74,0
50,ARLINGTON,-,1,ARLINGTON_-_1,28296,4083,81,4456,0,368,1562,52,1510,1311,528,252,266,86,179,176,75
51,ARLINGTON,-,10,ARLINGTON_-_10,3244,0,0,1065,0,0,133,0,133,133,25,0,108,0,0,0,0
52,ARLINGTON,-,11,ARLINGTON_-_11,46235,1267,19,7137,0,706,2034,0,2034,1854,252,167,1419,0,16,180,0
53,ARLINGTON,-,12,ARLINGTON_-_12,6382,91,40,1502,0,9,334,0,334,334,102,0,232,0,0,0,0
54,ARLINGTON,-,13,ARLINGTON_-_13,81318,2604,18,13192,0,1228,3745,35,3710,3502,576,285,2589,17,35,243,0
55,ARLINGTON,-,15,ARLINGTON_-_15,37422,1338,0,5586,0,648,1752,0,1752,1752,210,174,1368,0,0,0,0
56,ARLINGTON,-,16,ARLINGTON_-_16,69327,3129,54,9909,0,840,3429,105,3324,3303,894,147,2106,51,105,126,0
57,ARLINGTON,-,17,ARLINGTON_-_17,71166,2978,36,10330,0,992,3454,70,3384,3370,736,214,2316,34,70,84,0
58,ARLINGTON,-,18,ARLINGTON_-_18,56098,2349,155,8909,0,622,2940,82,2858,2838,837,129,1756,34,82,102,0
59,ARLINGTON,-,19,ARLINGTON_-_19,94923,3603,54,15869,0,1193,4597,105,4492,4315,1066,227,2833,51,138,260,22
60,ARLINGTON,-,2,ARLINGTON_-_2,18861,2325,0,4595,0,157,801,69,732,747,152,0,526,0,69,54,0
61,ARLINGTON,-,20,ARLINGTON_-_20,103248,4415,189,17499,0,1252,5328,176,5152,5106,1453,289,3120,68,176,222,0
62,ARLINGTON,-,21,ARLINGTON_-_21,76353,3238,93,13188,0,893,3893,117,3776,3727,1061,178,2287,51,150,144,22
63,ARLINGTON,-,3,ARLINGTON_-_3,26462,2474,66,4458,0,394,1320,46,1274,1176,396,178,486,0,116,94,50
64,ARLINGTON,-,4,ARLINGTON_-_4,16267,3201,12,3639,0,241,737,69,668,657,102,30,456,0,69,80,0
65,ARLINGTON,-,5,ARLINGTON_-_5,38221,2883,181,7781,0,514,1570,52,1518,1396,126,59,825,86,300,174,0
66,ARLINGTON,-,6,ARLINGTON_-_6,9502,137,27,1637,0,133,443,46,397,407,68,0,258,0,81,36,0
67,ARLINGTON,-,7,ARLINGTON_-_7,19930,685,135,5145,0,295,585,0,585,585,0,0,410,0,175,0,0
68,ARLINGTON,-,8,ARLINGTON_-_8,3986,137,27,1029,0,59,117,0,117,117,0,0,82,0,35,0,0
69,ARLINGTON,-,9,ARLINGTON_-_9,31141,1852,100,5404,0,438,1324,26,1298,1214,143,73,797,43,158,110,0
70,ASHBURNHAM,-,1,ASHBURNHAM_-_1,99561,1853,4,1475,0,758,1925,107,1818,1900,880,388,514,0,118,19,6
71,ASHBY,-,1,ASHBY_-_1,52112,715,8,662,0,179,680,51,629,636,211,81,282,0,62,38,6
72,ASHFIELD,-,1,ASHFIELD_-_1,6304,12,30,50,0,26,82,12,70,66,12,16,26,0,12,16,0
73,ASHLAND,-,1,ASHLAND_-_1,49287,1778,132,6832,0,2744,1652,180,1472,1592,629,258,396,72,237,60,0
74,ASHLAND,-,2,ASHLAND_-_2,29252,794,76,3992,0,618,688,46,642,648,206,144,204,48,46,40,0
75,ASHLAND,-,3,ASHLAND_-_3,6988,640,36,736,0,3310,572,142,430,572,146,56,114,0,256,0,0
76,ASHLAND,-,4,ASHLAND_-_4,14324,988,54,1371,0,4990,1012,230,782,1012,261,84,266,0,401,0,0
77,ASHLAND,-,5,ASHLAND_-_5,43878,1191,114,5988,0,927,1032,69,963,972,309,216,306,72,69,60,0
78,ATHOL,-,1,ATHOL_-_1,34583,388,22,158,4,741,1033,208,825,953,315,142,258,0,238,38,42
79,ATHOL,-,2,ATHOL_-_2,22361,240,22,104,2,102,452,69,383,410,49,110,152,0,99,0,42
80,ATHOL,-,3,ATHOL_-_3,25465,339,11,94,0,1038,910,174,736,811,423,50,134,0,204,57,42
81,AUBURN,-,1,AUBURN_-_1,50056,890,9,959,0,354,1310,328,982,1299,345,167,371,58,358,11,0
82,AUBURN,-,2,AUBURN_-_2,31690,116,0,684,0,293,226,0,226,157,54,69,26,0,8,69,0
83,AUBURN,-,3,AUBURN_-_3,37246,557,27,464,0,212,701,30,671,690,324,89,58,174,45,11,0
84,AUBURN,-,4,AUBURN_-_4,28000,454,27,397,0,273,625,30,595,580,205,120,51,174,30,45,0
85,AUBURN,-,5,AUBURN_-_5,43902,494,0,1017,10,387,690,167,523,602,101,112,199,11,179,88,0
86,AVON,-,1,AVON_-_1,48365,11273,98,2771,0,2333,1990,314,1676,1673,408,190,533,78,464,297,20
87,AYER,-,1,AYER_-_1,220615,4964,193,7739,0,1680,7312,351,6961,7017,2220,1300,2416,560,521,295,0
88,AYER,-,2,AYER_-_2,185346,3568,202,6494,0,684,5988,298,5690,5738,1884,1036,2012,384,422,250,0
89,BARRE,-,1,BARRE_-_1,34289,535,2,483,94,31,802,238,564,665,105,108,210,0,242,50,87
90,BARRE,-,2,BARRE_-_2,38040,616,4,476,120,26,808,300,508,642,114,82,138,0,308,50,116
91,BECKET,-,1,BECKET_-_1,181546,4380,357,6151,0,1420,4081,314,3767,3884,1091,736,1531,36,490,197,0
92,BEDFORD,-,1,BEDFORD_-_1,118359,3411,77,23870,44,1281,4167,470,3697,3767,420,376,2393,28,550,338,62
93,BEDFORD,-,2,BEDFORD_-_2,63819,2610,75,13761,0,349,2688,75,2613,2268,91,158,1920,4,95,420,0
94,BEDFORD,-,3,BEDFORD_-_3,52076,3937,148,11606,0,610,2143,693,1450,1945,34,108,1006,66,731,198,0
95,BEDFORD,-,4,BEDFORD_-_4,33695,2072,75,6512,0,248,1330,170,1160,1097,24,66,815,22,170,233,0
96,BELCHERTOWN,-,B,BELCHERTOWN_-_B,61908,1338,68,1210,0,1570,2172,858,1314,1980,526,116,480,0,858,150,42
97,BELCHERTOWN,-,C,BELCHERTOWN_-_C,6030,64,0,50,0,95,83,0,83,65,39,0,26,0,0,18,0
98,BELCHERTOWN,-,D,BELCHERTOWN_-_D,19824,1139,0,1577,9,537,1126,118,1008,996,611,41,212,0,132,66,64
99,BELLINGHAM,-,1,BELLINGHAM_-_1,6188,145,0,279,0,554,23,12,11,21,0,0,0,0,21,2,0
100,BELLINGHAM,-,2,BELLINGHAM_-_2,32708,430,43,751,0,1194,577,134,443,532,259,43,47,19,164,45,0
101,BELLINGHAM,-,3,BELLINGHAM_-_3,14608,121,43,166,0,42,398,63,335,357,188,43,32,19,75,41,0
102,BELMONT,-,1,BELMONT_-_1,46244,4257,175,10577,0,353,1991,42,1949,1888,525,0,1298,0,65,92,11
103,BELMONT,-,2,BELMONT_-_2,48788,1547,137,11682,0,478,2653,47,2606,2529,777,84,1604,17,47,124,0
104,BELMONT,-,3,BELMONT_-_3,65885,2159,269,13846,0,953,3114,226,2888,2970,988,64,1656,0,262,144,0
105,BELMONT,-,4,BELMONT_-_4,67440,2712,192,9872,0,1472,2626,384,2242,2530,782,50,1242,0,456,96,0
106,BELMONT,-,5,BELMONT_-_5,17698,503,47,3580,0,164,954,14,940,893,202,4,673,0,14,61,0
107,BELMONT,-,6,BELMONT_-_6,24462,462,108,4206,0,194,1083,16,1067,948,201,0,731,0,16,135,0
108,BELMONT,-,7,BELMONT_-_7,31997,1032,102,5377,0,979,1090,44,1046,919,216,60,599,0,44,149,22
109,BELMONT,-,8,BELMONT_-_8,32087,3513,54,8525,0,172,1347,39,1308,1317,320,0,935,0,62,30,0
110,BERKLEY,-,1,BERKLEY_-_1,71562,1212,93,2046,52,1132,2337,588,1749,2244,579,606,189,0,870,93,0
111,BERKLEY,-,2,BERKLEY_-_2,64434,975,93,2046,0,924,2232,498,1734,2139,564,606,189,0,780,93,0
112,BERLIN,-,1,BERLIN_-_1,53446,615,242,2095,49,196,915,182,733,841,25,67,533,0,216,74,0
113,BEVERLY,1,1,BEVERLY_1_1,11988,607,0,540,0,249,382,0,382,286,178,104,4,0,0,96,0
114,BEVERLY,1,2,BEVERLY_1_2,21249,867,0,843,0,502,691,0,691,583,305,152,85,0,41,108,0
115,BEVERLY,2,1,BEVERLY_2_1,37102,1116,0,1164,0,691,1723,54,1669,1615,816,181,400,0,218,108,0
116,BEVERLY,2,2,BEVERLY_2_2,48644,1226,0,1350,0,691,2199,108,2091,2079,1062,271,474,0,272,120,0
117,BEVERLY,3,1,BEVERLY_3_1,47933,1995,0,1829,0,837,2138,54,2084,1850,1039,307,327,0,177,288,0
118,BEVERLY,3,2,BEVERLY_3_2,59948,1640,80,1882,0,595,1911,54,1857,1659,1078,275,252,0,54,252,0
119,BEVERLY,4,1,BEVERLY_4_1,45171,1008,0,555,84,45,1152,360,792,1119,387,165,192,0,375,33,0
120,BEVERLY,4,2,BEVERLY_4_2,71323,1258,40,1269,56,215,2181,348,1833,2087,1037,330,362,0,358,94,0
121,BEVERLY,5,1,BEVERLY_5_1,84302,1926,120,2475,12,742,1839,83,1756,1625,931,134,440,0,120,199,15
122,BEVERLY,5,2,BEVERLY_5_2,90121,1786,120,2087,64,550,2096,278,1818,1978,1053,195,430,0,300,118,0
123,BEVERLY,6,1,BEVERLY_6_1,97511,1805,80,1397,144,446,1720,511,1209,1689,565,117,465,0,542,31,0
124,BEVERLY,6,2,BEVERLY_6_2,46773,1084,40,764,88,175,786,298,488,771,229,35,188,0,319,15,0
125,BILLERICA,-,1,BILLERICA_-_1,114440,5396,30,12251,16,3430,3219,992,2227,2687,392,320,795,174,1006,532,0
126,BILLERICA,-,10,BILLERICA_-_10,70125,1630,0,3776,152,426,1028,80,948,1000,346,26,511,0,117,28,0
127,BILLERICA,-,11,BILLERICA_-_11,164116,5704,60,15896,32,4196,3904,880,3024,3340,592,528,1204,108,908,564,0
128,BILLERICA,-,2,BILLERICA_-_2,188357,5627,72,16736,58,3232,4162,829,3333,3925,1011,725,1295,27,867,237,0
129,BILLERICA,-,3,BILLERICA_-_3,22968,1109,48,3088,108,26,823,132,691,751,60,0,399,32,260,72,0
130,BILLERICA,-,4,BILLERICA_-_4,27712,2288,0,4740,0,584,980,680,300,980,0,48,164,88,680,0,0
131,BILLERICA,-,5,BILLERICA_-_5,6928,572,0,1185,0,146,245,170,75,245,0,12,41,22,170,0,0
132,BILLERICA,-,6,BILLERICA_-_6,101883,4157,41,13585,30,3403,3259,588,2671,2574,520,288,974,157,635,654,31
133,BILLERICA,-,7,BILLERICA_-_7,94835,5342,51,16904,22,2224,3425,1176,2249,3039,288,214,1135,186,1216,355,31
134,BILLERICA,-,8,BILLERICA_-_8,145751,3798,36,11683,168,1767,2770,649,2121,2693,698,366,909,22,698,77,0
135,BILLERICA,-,9,BILLERICA_-_9,41602,3511,121,7945,54,476,1757,774,983,1672,68,54,573,82,895,85,0
136,BLACKSTONE,-,3,BLACKSTONE_-_3,20940,153,43,168,0,56,530,63,467,489,250,81,64,19,75,41,0
137,BLANDFORD,-,1,BLANDFORD_-_1,362603,8064,451,11926,0,1450,7798,512,7286,7504,2166,1687,2759,90,802,294,0
138,BOLTON,-,1,BOLTON_-_1,80345,1952,290,3253,17,694,1497,259,1238,1397,98,130,808,32,329,100,0
139,BOSTON,1,1,BOSTON_1_1,658,14,0,58,56,0,40,0,40,40,12,0,18,0,10,0,0
140,BOSTON,1,10,BOSTON_1_10,329,7,0,29,28,0,20,0,20,20,6,0,9,0,5,0,0
141,BOSTON,1,11,BOSTON_1_11,329,7,0,29,28,0,20,0,20,20,6,0,9,0,5,0,0
142,BOSTON,1,12,BOSTON_1_12,10178,263,108,294,0,432,198,22,176,161,61,0,49,0,51,23,14
143,BOSTON,1,2,BOSTON_1_2,329,7,0,29,28,0,20,0,20,20,6,0,9,0,5,0,0
144,BOSTON,1,3,BOSTON_1_3,329,7,0,29,28,0,20,0,20,20,6,0,9,0,5,0,0
145,BOSTON,1,4,BOSTON_1_4,329,7,0,29,28,0,20,0,20,20,6,0,9,0,5,0,0
146,BOSTON,1,5,BOSTON_1_5,329,7,0,29,28,0,20,0,20,20,6,0,9,0,5,0,0
147,BOSTON,10,4,BOSTON_10_4,71,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,BOSTON,10,6,BOSTON_10_6,4652,856,73,673,0,1383,306,54,252,300,134,0,112,0,54,6,0
149,BOSTON,10,7,BOSTON_10_7,4668,948,39,615,0,1878,402,81,321,402,195,0,126,0,81,0,0
150,BOSTON,10,8,BOSTON_10_8,1611,252,47,263,0,131,38,0,38,32,4,0,28,0,0,6,0
151,BOSTON,10,9,BOSTON_10_9,13503,1657,130,1331,0,1911,771,68,703,696,215,0,413,0,68,75,0
